Wall time,Step,Value
1762875906.33558,0,3.9908204078674316
1762875907.33558,1,6.209526628255844
1762875908.33558,2,-4.2513285875320435
1762875909.33558,3,4.066617876291275
1762875910.33558,4,-2.421350121498108
1762875911.33558,5,7.478456556797028
1762875912.33558,6,-2.943871259689331
1762875913.33558,7,4.830808043479919
1762875914.33558,8,12.830526560544968
1762875915.33558,9,12.721787452697754
1762875916.33558,10,12.699142724275589
1762875917.33558,11,-12.599999964237213
1762875918.33558,12,-2.716335892677307
1762875919.33558,13,16.693244695663452
1762875920.33558,14,24.61742290854454
1762875921.33558,15,6.659964352846146
1762875922.33558,16,13.83601339161396
1762875923.33558,17,4.5387299954891205
1762875924.33558,18,-7.628006488084793
1762875925.33558,19,16.44932422041893
1762875926.33558,20,20.81511127948761
1762875927.33558,21,-1.986088752746582
1762875928.33558,22,0.12952342629432678
1762875929.33558,23,9.338079005479813
1762875930.33558,24,2.312872588634491
1762875931.33558,25,25.535325914621353
1762875932.33558,26,6.812156438827515
1762875933.33558,27,22.011395573616028
1762875934.33558,28,20.67657908797264
1762875935.33558,29,-14.56553602218628
1762875936.33558,30,15.896047204732895
1762875937.33558,31,4.254436373710632
1762875938.33558,32,16.403860241174698
1762875939.33558,33,-4.960223019123077
1762875940.33558,34,19.431700497865677
1762875941.33558,35,13.738393366336823
1762875942.33558,36,11.92084139585495
1762875943.33558,37,-1.1494296193122864
1762875944.33558,38,10.0437451004982
1762875945.33558,39,12.471883118152618
1762875946.33558,40,4.913729149848223
1762875947.33558,41,34.60736757516861
1762875948.33558,42,-3.180030941963196
1762875949.33558,43,-13.039317518472672
1762875950.33558,44,-16.0
1762875951.33558,45,16.767894119024277
1762875952.33558,46,11.615286588668823
1762875953.33558,47,-0.8008922338485718
1762875954.33558,48,-3.7144931703805923
1762875955.33558,49,16.791408956050873
1762875956.33558,50,4.325894981622696
1762875957.33558,51,4.947171986103058
1762875958.33558,52,15.020261526107788
1762875959.33558,53,-5.071147780865431
1762875960.33558,54,6.59327232837677
1762875961.33558,55,11.313417248427868
1762875962.33558,56,4.428754806518555
1762875963.33558,57,8.883201956748962
1762875964.33558,58,-9.099386096000671
1762875965.33558,59,17.626720055937767
1762875966.33558,60,13.865697026252747
1762875967.33558,61,0.9231773316860199
