Wall time,Step,Value
1762875906.33558,0,0.0
1762875907.33558,1,0.0
1762875908.33558,2,0.0
1762875909.33558,3,0.0
1762875910.33558,4,0.0
1762875911.33558,5,0.0
1762875912.33558,6,0.0
1762875913.33558,7,0.0
1762875914.33558,8,0.0
1762875915.33558,9,0.0
1762875916.33558,10,0.0
1762875917.33558,11,0.0
1762875918.33558,12,0.0
1762875919.33558,13,0.0
1762875920.33558,14,0.0
1762875921.33558,15,0.0
1762875922.33558,16,0.0
1762875923.33558,17,0.0
1762875924.33558,18,0.0
1762875925.33558,19,0.0
1762875926.33558,20,0.0
1762875927.33558,21,0.0
1762875928.33558,22,0.0
1762875929.33558,23,0.0
1762875930.33558,24,0.0
1762875931.33558,25,0.0
1762875932.33558,26,0.0
1762875933.33558,27,0.0
1762875934.33558,28,0.0
1762875935.33558,29,0.0
1762875936.33558,30,0.0
1762875937.33558,31,0.0
1762875938.33558,32,0.0
1762875939.33558,33,0.0
1762875940.33558,34,0.0
1762875941.33558,35,0.0
1762875942.33558,36,0.0
1762875943.33558,37,0.0
1762875944.33558,38,0.0
1762875945.33558,39,0.0
1762875946.33558,40,0.0
1762875947.33558,41,0.0
1762875948.33558,42,0.0
1762875949.33558,43,0.0
1762875950.33558,44,0.0
1762875951.33558,45,0.0
1762875952.33558,46,0.0
1762875953.33558,47,0.0
1762875954.33558,48,0.0
1762875955.33558,49,0.0
1762875956.33558,50,0.0
1762875957.33558,51,0.0
1762875958.33558,52,0.0
1762875959.33558,53,0.0
1762875960.33558,54,0.0
1762875961.33558,55,0.0
1762875962.33558,56,0.0
1762875963.33558,57,0.0
1762875964.33558,58,0.0
1762875965.33558,59,0.0
1762875966.33558,60,0.0
1762875967.33558,61,0.0
1762875968.33558,62,0.0
1762875969.33558,63,0.0
1762875970.33558,64,0.0
1762875971.33558,65,0.0
1762875972.33558,66,0.0
1762875973.33558,67,0.0
1762875974.33558,68,0.0
1762875975.33558,69,0.0
1762875976.33558,70,0.0
1762875977.33558,71,0.0
1762875978.33558,72,0.0
1762875979.33558,73,0.0
1762875980.33558,74,0.0
1762875981.33558,75,0.0
1762875982.33558,76,0.0
1762875983.33558,77,0.0
1762875984.33558,78,0.0
1762875985.33558,79,0.0
1762875986.33558,80,0.0
1762875987.33558,81,0.0
1762875988.33558,82,0.0
1762875989.33558,83,0.0
1762875990.33558,84,0.0
1762875991.33558,85,0.0
1762875992.33558,86,0.0
1762875993.33558,87,0.0
1762875994.33558,88,0.0
1762875995.33558,89,0.0
1762875996.33558,90,0.0
1762875997.33558,91,0.0
1762875998.33558,92,0.0
1762875999.33558,93,0.0
1762876000.33558,94,0.0
1762876001.33558,95,0.0
1762876002.33558,96,0.0
1762876003.33558,97,0.0
1762876004.33558,98,0.0
1762876005.33558,99,0.0
1762876006.33558,100,0.0
1762876007.33558,101,0.0
1762876008.33558,102,0.0
1762876009.33558,103,0.0
1762876010.33558,104,0.0
1762876011.33558,105,0.0
1762876012.33558,106,0.0
1762876013.33558,107,0.0
1762876014.33558,108,0.0
1762876015.33558,109,0.0
1762876016.33558,110,0.0
1762876017.33558,111,0.0
1762876018.33558,112,0.0
1762876019.33558,113,0.0
1762876020.33558,114,0.0
1762876021.33558,115,0.0
1762876022.33558,116,0.0
1762876023.33558,117,0.0
1762876024.33558,118,0.0
1762876025.33558,119,0.0
1762876026.33558,120,0.0
1762876027.33558,121,0.0
1762876028.33558,122,0.0
1762876029.33558,123,0.0
1762876030.33558,124,0.0
1762876031.33558,125,0.0
1762876032.33558,126,0.0
1762876033.33558,127,0.0
1762876034.33558,128,0.0
1762876035.33558,129,0.0
1762876036.33558,130,0.0
1762876037.33558,131,0.0
1762876038.33558,132,0.0
1762876039.33558,133,0.0
1762876040.33558,134,0.0
1762876041.33558,135,0.0
1762876042.33558,136,0.0
1762876043.33558,137,0.0
1762876044.33558,138,0.0
1762876045.33558,139,0.0
1762876046.33558,140,0.0
1762876047.33558,141,0.0
1762876048.33558,142,0.0
1762876049.33558,143,0.0
1762876050.33558,144,0.0
1762876051.33558,145,0.0
1762876052.33558,146,0.0
1762876053.33558,147,0.0
1762876054.33558,148,0.0
1762876055.33558,149,0.0
1762876056.33558,150,0.0
1762876057.33558,151,0.0
1762876058.33558,152,0.0
1762876059.33558,153,0.0
1762876060.33558,154,0.0
1762876061.33558,155,0.0
1762876062.33558,156,0.0
1762876063.33558,157,0.0
1762876064.33558,158,0.0
1762876065.33558,159,0.0
1762876066.33558,160,0.0
1762876067.33558,161,0.0
1762876068.33558,162,0.0
1762876069.33558,163,0.0
1762876070.33558,164,0.0
1762876071.33558,165,0.0
1762876072.33558,166,0.0
1762876073.33558,167,0.0
1762876074.33558,168,0.0
1762876075.33558,169,0.0
1762876076.33558,170,0.0
1762876077.33558,171,0.0
1762876078.33558,172,0.0
1762876079.33558,173,0.0
1762876080.33558,174,0.0
1762876081.33558,175,0.0
1762876082.33558,176,0.0
1762876083.33558,177,0.0
1762876084.33558,178,0.0
1762876085.33558,179,0.0
1762876086.33558,180,0.0
1762876087.33558,181,0.0
1762876088.33558,182,0.0
1762876089.33558,183,0.0
1762876090.33558,184,0.0
1762876091.33558,185,0.0
1762876092.33558,186,0.0
1762876093.33558,187,0.0
