episode,total_reward,avg_reward_per_action,num_of_actions
1,6.081901952543479,0.5068251627119565,12
2,-5.37057427912386,-0.44754785659365504,12
3,24.2842633705621,2.0236886142135084,12
4,-0.6374568813356056,-0.05312140677796714,12
5,27.3867251059358,2.2822270921613166,12
6,24.81951276157746,2.068292730131455,12
7,7.717009584450299,0.6430841320375249,12
8,19.168124927309904,1.597343743942492,12
9,14.461673701989007,1.2051394751657505,12
10,27.244060892826205,2.270338407735517,12
11,18.862745142817005,1.5718954285680837,12
12,12.614108927563484,1.0511757439636236,12
13,12.384255713965665,1.0320213094971387,12
14,6.881417581272094,0.5734514651060079,12
15,9.050445947492426,0.7542038289577021,12
16,18.16324543047743,1.5136037858731193,12
17,18.455158153197566,1.5379298460997972,12
18,21.24007808758727,1.7700065072989393,12
19,-2.0566088828971156,-0.17138407357475963,12
20,22.477819665493826,1.8731516387911522,12
21,24.048610012039,2.0040508343365833,12
22,31.993482413025085,2.666123534418757,12
23,21.912255113441688,1.826021259453474,12
24,-6.316475634242469,-0.5263729695202057,12
25,20.72309009165037,1.7269241743041974,12
26,16.950014349844537,1.4125011958203781,12
27,-22.199999999999992,-1.8499999999999994,12
28,22.72293442519793,1.8935778687664941,12
29,25.270691232002264,2.1058909360001885,12
30,3.5435301827827033,0.2952941818985586,12
31,21.699932409474528,1.808327700789544,12
32,-13.756608882897117,-1.1463840735747597,12
33,22.696063139232567,1.8913385949360473,12
34,25.57638512390556,2.13136542699213,12
35,17.35100199762096,1.4459168331350798,12
36,22.6554777660113,1.8879564805009414,12
37,19.674508246533303,1.6395423538777754,12
38,-0.4306011740822715,-0.03588343117352263,12
39,-14.239065855148713,-1.1865888212623927,12
40,31.563957624283155,2.630329802023596,12
41,16.460893545501456,1.371741128791788,12
42,26.47972303444459,2.206643586203716,12
43,7.503357486362635,0.6252797905302195,12
44,2.8561354394133365,0.23801128661777804,12
45,-26.249999999999996,-2.1874999999999996,12
46,-2.7197972923113114,-0.22664977435927594,12
47,17.21503875463653,1.4345865628863776,12
48,1.7179608451838386,0.14316340376531989,12
49,21.14138395053185,1.7617819958776542,12
50,23.884279798816753,1.990356649901396,12
51,16.876319879964335,1.4063599899970278,12
52,2.8368143967878474,0.23640119973232063,12
53,2.074098016470913,0.17284150137257606,12
54,14.285650448888157,1.1904708707406797,12
55,10.561956453263594,0.8801630377719661,12
56,9.496814213614986,0.7914011844679155,12
57,2.396521767472728,0.19971014728939399,12
58,23.793273565181437,1.982772797098453,12
59,19.245038693511844,1.6037532244593204,12
60,19.625983800692957,1.6354986500577464,12
61,1.9368143967878457,0.16140119973232048,12
62,15.982699493405242,1.3318916244504369,12
63,-16.906608882897114,-1.4088840735747594,12
64,20.64327356518144,1.7202727970984533,12
65,16.98860124752041,1.4157167706267009,12
66,13.89780261290067,1.1581502177417224,12
67,20.864700328547713,1.738725027378976,12
68,19.36831754891597,1.6140264624096643,12
69,21.889761520854673,1.824146793404556,12
70,-4.4456747380458275,-0.3704728948371523,12
71,10.891963642236485,0.9076636368530404,12
72,-2.890528926997119,-0.24087741058309323,12
73,28.64569342401076,2.387141118667563,12
74,30.53573602487762,2.5446446687398017,12
75,14.830994439344995,1.2359162032787496,12
76,2.5533574863626334,0.21277979053021945,12
77,12.549176187015107,1.045764682251259,12
78,28.504464864450863,2.375372072037572,12
79,21.150421852389563,1.762535154365797,12
80,15.104858605860297,1.2587382171550248,12
81,23.55359872951148,1.9627998941259568,12
82,20.518548771301234,1.7098790642751027,12
83,17.328102176611935,1.4440085147176613,12
84,24.896774430289234,2.0747312025241027,12
85,15.026583138696806,1.252215261558067,12
86,22.283978848058652,1.856998237338221,12
87,-6.029686912346698,-0.5024739093622248,12
88,15.912145235808406,1.326012102984034,12
89,6.2543883396429845,0.521199028303582,12
90,-1.9978211334513447,-0.16648509445427873,12
91,23.700078108688096,1.9750065090573414,12
92,-12.439065855148712,-1.0365888212623926,12
93,23.41347591960272,1.9511229933002268,12
94,-2.056608882897116,-0.17138407357475968,12
95,24.585216666828956,2.0487680555690795,12
96,24.72707936698012,2.0605899472483435,12
97,-5.889065855148711,-0.49075548792905926,12
98,29.51577933305061,2.4596482777542175,12
99,22.270041293383997,1.8558367744486663,12
100,16.04575185892406,1.3371459882436716,12
101,14.55645483230049,1.2130379026917075,12
102,16.336814396787847,1.3614011997323205,12
103,18.544810980065705,1.5454009150054755,12
